feature,importance
emissions_rolling_mean_3,0.3071411
emissions_mom_change,0.15211523
property_name_encoded,0.12226338
emissions_rolling_std_6,0.089944474
emissions_source_encoded,0.07299079
emissions_rolling_std_3,0.066261455
class_encoded,0.04904528
emissions_yoy_change,0.038383648
emissions_lag1,0.028732488
scopes_encoded,0.020462852
sector_encoded,0.017457332
emissions_lag12,0.012232592
year,0.004790989
week_of_year,0.004766262
emissions_rolling_mean_12,0.0037567308
emissions_lag6,0.0034586622
emissions_lag3,0.0024485982
day_of_week,0.0021222297
emissions_rolling_mean_6,0.0016259012
month,0.0
day_of_year_cos,0.0
day_of_year_sin,0.0
month_cos,0.0
month_sin,0.0
day_of_year,0.0
quarter,0.0
