feature,coefficient
emissions_rolling_mean_3,36.74218440921122
emissions_lag1,-17.773568819062806
emissions_source_encoded,-5.141303007737623
class_encoded,-4.127007285835616
scopes_encoded,3.6753899049199337
emissions_rolling_mean_12,-2.8249538244353003
property_type_encoded,2.492858208753081
week_of_year,-2.0947225153147127
emissions_rolling_std_6,1.9872370434126283
emissions_lag3,1.6589105560472428
emissions_rolling_mean_6,-1.4165182774396763
property_name_encoded,0.9338258462384588
day_of_week,-0.7948403494321664
emissions_lag6,-0.7867709684990158
emissions_lag12,0.7492411670960315
primary_category_encoded,0.4625403148176338
emissions_rolling_std_3,-0.39334154593328524
year,0.32043110674126446
emissions_yoy_change,-0.07198483117963288
emissions_mom_change,0.03166881303566741
month_cos,1.3322676295501878e-14
month_sin,1.1546319456101628e-14
day_of_year_sin,-8.881784197001252e-15
day_of_year_cos,-7.105427357601002e-15
month,-3.552713678800501e-15
quarter,3.552713678800501e-15
day_of_year,-1.7763568394002505e-15
