Entity,Year,Pathway,Emissions_tCO2e
Entity A,2020,Current_Trend,383222.21401809156
Entity A,2020,SBTi_1.5C,349319.2061466305
Entity A,2020,SBTi_2C,349319.2061466305
Entity A,2025,Current_Trend,298464.69433940947
Entity A,2025,SBTi_1.5C,237835.89363403572
Entity A,2025,SBTi_2C,307783.6481435119
Entity A,2030,Current_Trend,213707.17466072738
Entity A,2030,SBTi_1.5C,161931.87006429926
Entity A,2030,SBTi_2C,271186.8468656854
Entity A,2035,Current_Trend,128949.6549820453
Entity A,2035,SBTi_1.5C,110252.20012783044
Entity A,2035,SBTi_2C,238941.56286906372
Entity A,2040,Current_Trend,44192.135303370655
Entity A,2040,SBTi_1.5C,75065.81396361628
Entity A,2040,SBTi_2C,210530.38200849036
Entity A,2045,Current_Trend,0.0
Entity A,2045,SBTi_1.5C,51108.97033788866
Entity A,2045,SBTi_2C,185497.41290898487
Entity A,2050,Current_Trend,0.0
Entity A,2050,SBTi_1.5C,34797.82221858352
Entity A,2050,SBTi_2C,163440.97164341228
Entity B,2020,Current_Trend,207177.97634083778
Entity B,2020,SBTi_1.5C,140293.93985228075
Entity B,2020,SBTi_2C,140293.93985228075
Entity B,2025,Current_Trend,95704.58219320327
Entity B,2025,SBTi_1.5C,95519.89689968755
Entity B,2025,SBTi_2C,123612.38620826376
Entity B,2030,Current_Trend,0.0
Entity B,2030,SBTi_1.5C,65035.244667972795
Entity B,2030,SBTi_2C,108914.341133977
Entity B,2035,Current_Trend,0.0
Entity B,2035,SBTi_1.5C,44279.60232688357
Entity B,2035,SBTi_2C,95963.95691822095
Entity B,2040,Current_Trend,0.0
Entity B,2040,SBTi_1.5C,30148.00962519496
Entity B,2040,SBTi_2C,84553.42915836906
Entity B,2045,Current_Trend,0.0
Entity B,2045,SBTi_1.5C,20526.437379701223
Entity B,2045,SBTi_2C,74499.66229020599
Entity B,2050,Current_Trend,0.0
Entity B,2050,SBTi_1.5C,13975.537249088658
Entity B,2050,SBTi_2C,65641.33160062833
